,Title,Prompt,Choice1,Choice2,Choice3,Choice4
10,Locked Out,You forgot your key and are now locked out of your dorm,"(Name=""Pay for a Spare"",Conclusion=""You go the housing office for a spare key. The first few are free, but this is the fourth time."",dMoney=50,dStudy=5,dEducation=0,dEntertainment=0,dFood=0, dHousing=50,dTransportation=0,Exists=True)","(Name=""Ask a Roommate"",Conclusion=""You wait for a roommate to let you in, but this costs time."",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)"
11,Midterms,All of your courses seem to have midterms this week.,"(Name=""Study Extra"",Conclusion=""You take lots of extra time to study."",dMoney=0,dStudy=20,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Study Normally"",Conclusion=""You compromise with your study plan."",dMoney=0,dStudy=10,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Self-Handicap"",Conclusion=""You don't study at all in an effort to give yourself an excuse for failure."",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Get a Treat After"",Conclusion=""You study, and get yourself something expensive afterwards"",dMoney=0,dStudy=15,dEducation=0,dEntertainment=0,dFood=40, dHousing=0,dTransportation=0,Exists=True)"
12,Game Day,It's the big game against UGA.,"(Name=""Go All In"",Conclusion=""No expense is spared in showing school spirit."",dMoney=60,dStudy=0,dEducation=0,dEntertainment=60,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Attend Normally"",Conclusion=""You buy a ticket. That's it."",dMoney=15,dStudy=0,dEducation=0,dEntertainment=15,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Football Bores Me"",Conclusion=""The noise is distracting, but you can get something done."",dMoney=0,dStudy=5,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)"
13,5K,There's a 5K raising funds for a cause you wish to support.,"(Name=""Run it"",Conclusion=""You sign up to run the 5k, including transportation there."",dMoney=25,dStudy=0,dEducation=0,dEntertainment=5,dFood=0, dHousing=0,dTransportation=20,Exists=True)","(Name=""Volunteer"",Conclusion=""You help ensure the 5k goes smoothly."",dMoney=20,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=20,Exists=True)","(Name=""Watch"",Conclusion=""You don't feel like running, but you do want to show up."",dMoney=20,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=20,Exists=True)","(Name=""Do Nothing"",Conclusion=""This isn't your kind of event."",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)"
14,Guest Speaker,"A guest speaker is on campus, and extra credit is being offered for attendance","(Name=""Attend"",Conclusion=""A good chance to learn something new and get credit."",dMoney=0,dStudy=15,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Do Not"",Conclusion=""You would rather do something else with your time."",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)"
15,Create-X Demo,"It's demo day for create-x, where students show off their inventions.","(Name=""Attend and Support"",Conclusion=""You go to the event and actively support some of the people there."",dMoney=30,dStudy=0,dEducation=30,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Attend for Fun"",Conclusion=""You take time to see what's being created at Georgia Tech."",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Do Not Go"",Conclusion=""You choose to study at home instead."",dMoney=0,dStudy=5,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)"
16,Grocery Decision,It's time to plan out your eating schedule for the next few weeks.,"(Name=""Meal Plan"",Conclusion=""The campus meal plan is convenient, but also expensive."",dMoney=100,dStudy=0,dEducation=0,dEntertainment=0,dFood=100, dHousing=0,dTransportation=0,Exists=True)","(Name=""Take Out"",Conclusion=""You eat primarily fast food. Not too expensive, and not too slow."",dMoney=60,dStudy=0,dEducation=0,dEntertainment=0,dFood=60, dHousing=0,dTransportation=0,Exists=True)","(Name=""Groceries and Cooking"",Conclusion=""A cheaper, healthier option for those who know how to cook."",dMoney=40,dStudy=0,dEducation=0,dEntertainment=0,dFood=40, dHousing=0,dTransportation=0,Exists=True)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)"
17,Sick,You've started to feel sick this week,"(Name=""Go to the Health Center"",Conclusion=""You use this included student service to get proper help."",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Medicine"",Conclusion=""You buy medicine from the pharmacy to get back to studying faster."",dMoney=50,dStudy=5,dEducation=50,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Sleep"",Conclusion=""You wait it out, skipping classes until you're better"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Ignore the Problem"",Conclusion=""You keep attending classes, but this prolongs the sickness."",dMoney=0,dStudy=2,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)"
18,Student Event,"Students are organizing as a result of current events, will you attend?","(Name=""Join Them"",Conclusion=""You decided to make your voice heard."",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Avoid Them"",Conclusion=""They are distracting you from your studies."",dMoney=0,dStudy=5,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)"
19,Game Release,A game you've been looking forward to is coming out tonight at midnight! But it's a weekday...,"(Name=""Preorder and Play"",Conclusion=""You prioritize playing the game over anything else."",dMoney=60,dStudy=0,dEducation=0,dEntertainment=60,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Buy and Wait"",Conclusion=""You wait for a better time to start the game."",dMoney=60,dStudy=5,dEducation=0,dEntertainment=60,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Ignore"",Conclusion=""You don't get the game at all."",dMoney=0,dStudy=5,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)"
20,AASA Tour of Asia,"AASA is hosting Tour of Asia, where you can go enjoy activities and learn about others' cultures!","(Name=""Join the Tour"",Conclusion=""You take time to get culturally acquainted."",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Do Not"",Conclusion=""You elect to spend your time elsewhere."",dMoney=0,dStudy=3,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)"
21,GT Night at the Aquarium,GT is having its annual Night at the (Georgia) Aquarium. ,"(Name=""Pay to Attend"",Conclusion=""You spend time and money to attend the event."",dMoney=20,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=20,Exists=True)","(Name=""Stay at the Dorm"",Conclusion=""The aquarium night costs money, so you don't go."",dMoney=0,dStudy=5,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)"
22,Low on Supplies,"A class is requesting materials you weren't expecting, and you are short","(Name=""Buy from the Bookstore"",Conclusion=""This is the fastest method to acquire what you need."",dMoney=40,dStudy=5,dEducation=40,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Order Online"",Conclusion=""Takes time before you can start working, but cheaper."",dMoney=20,dStudy=0,dEducation=20,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Borrow from a Classmate"",Conclusion=""No cost, but reliant on the help of others."",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)"
23,Convention,"A popular convention is taking place in Atlanta, expensive too.","(Name=""Worth"",Conclusion=""You get the full experience; this is a unique opportunity."",dMoney=150,dStudy=0,dEducation=0,dEntertainment=100,dFood=20, dHousing=0,dTransportation=30,Exists=True)","(Name=""Buy a Day Pass"",Conclusion=""You take a day to check it out, but don't buy any merchandise."",dMoney=70,dStudy=0,dEducation=0,dEntertainment=40,dFood=0, dHousing=0,dTransportation=30,Exists=True)","(Name=""Ignore it."",Conclusion=""This does not interest you, so you study as normal."",dMoney=0,dStudy=10,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)"
24,Hackathon,"Georgia Tech is hosting a hackathon, CS major not required.","(Name=""All-Night it"",Conclusion=""You sacrifice sleep for coding."",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Check it out"",Conclusion=""You see what it has to offer, but don't commit."",dMoney=0,dStudy=2,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Do Not Attend"",Conclusion=""This isn't your event. The free food would have been nice."",dMoney=0,dStudy=5,dEducation=0,dEntertainment=0,dFood=10, dHousing=0,dTransportation=0,Exists=True)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)"
25,Happy Tails,Happy Tails is visiting the CoC today! You can go pet and hang out with some puppies.,"(Name=""Puppies!"",Conclusion=""You hang out with the puppies."",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Study by the Puppies"",Conclusion=""You accept a small distraction from studying because puppies."",dMoney=0,dStudy=2,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""No Dogs Allowed"",Conclusion=""You don't want to be near the puppies."",dMoney=0,dStudy=5,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)"
26,Housing Event,There's a movie night event happening on your dorm floor tonight. Free food provided!,"(Name=""Watch and Eat"",Conclusion=""You attend the event and enjoy the free food."",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Stay in Your Room"",Conclusion=""You would rather be on your own, free food or not."",dMoney=10,dStudy=5,dEducation=0,dEntertainment=0,dFood=10, dHousing=0,dTransportation=0,Exists=True)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)"
27,Roach Invasion,Your roommate tells you that there have been roach sightings at your housing building.,"(Name=""Avoid the Dorm"",Conclusion=""You stay longer on campus to avoid going near the roaches."",dMoney=10,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=10,Exists=True)","(Name=""Exterminate the Roaches"",Conclusion=""You personally make it your mission to destroy the roaches."",dMoney=40,dStudy=0,dEducation=40,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Accept their Existance"",Conclusion=""You continue life as normal."",dMoney=0,dStudy=5,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Only Eat Out"",Conclusion=""You throw out all food in the dorm in case of contamination."",dMoney=100,dStudy=0,dEducation=0,dEntertainment=0,dFood=100, dHousing=0,dTransportation=0,Exists=True)"
28,Farmers Market,The Georgia Tech Farmers Market stall are open!,"(Name=""Buy What You Need"",Conclusion=""You get some healthier, more expensive food for yourself."",dMoney=10,dStudy=0,dEducation=0,dEntertainment=0,dFood=10, dHousing=0,dTransportation=0,Exists=True)","(Name=""Buy Presents"",Conclusion=""You get others gifts from the farmer's market."",dMoney=50,dStudy=0,dEducation=0,dEntertainment=0,dFood=50, dHousing=0,dTransportation=0,Exists=True)","(Name=""Do Not Go."",Conclusion=""You don't go to the market at all."",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)"
29,Paper and Clay,Paper and Clay is hosting a pottery for beginners event.,"(Name=""Learn Pottery"",Conclusion=""You attend the event to try something new."",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Do Not Go"",Conclusion=""You don't think pottery is for you and study instead."",dMoney=0,dStudy=5,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)"
